PaymentID,LoanID,PaymentDateTime,PaymentAmount,Status
1,941,2021-02-14 22:56:00,396320.76,Failed
2,386,2020-09-15 13:50:00,68928.43,Success
3,460,2021-01-16 15:24:00,350417.03,Failed
4,738,2021-04-27 05:50:00,126173.66,Failed
5,395,2021-05-02 19:46:00,399784.11,Failed
6,2234,2021-08-12 22:05:00,497108.02,Failed
7,408,2021-08-25 05:45:00,102308.59,Failed
8,2543,2021-02-16 20:24:00,301282.67,Failed
9,746,2020-11-17 18:45:00,11556.73,Success
10,1904,2021-08-05 12:12:00,441346.79,Success
11,1176,2021-03-12 19:58:00,326309.55,Failed
12,708,2021-06-30 14:25:00,484187.94,Failed
13,2249,2020-07-12 21:21:00,475584.5,Success
14,2534,2020-07-23 23:13:00,32609.86,Failed
15,171,2021-03-19 15:48:00,294176.47,Success
16,2918,2021-01-27 16:03:00,180677.24,Failed
17,286,2021-01-09 19:11:00,131919.78,Failed
18,1462,2021-05-29 12:55:00,276565.84,Success
19,1314,2021-03-07 04:54:00,36147.65,Failed
20,295,2021-03-30 19:04:00,381563.12,Success
21,2839,2021-06-15 18:52:00,481674.52,Failed
22,1500,2021-08-28 21:18:00,391687.73,Failed
23,1218,2021-01-02 00:13:00,200700.59,Failed
24,1699,2021-07-31 11:56:00,6450.51,Failed
25,2319,2021-05-09 14:07:00,422408.0,Success
26,1488,2020-10-19 20:40:00,374821.59,Failed
27,532,2021-02-07 07:45:00,90862.81,Failed
28,1929,2021-02-13 07:58:00,423023.29,Failed
29,2216,2021-07-02 12:44:00,34166.86,Success
30,566,2021-05-18 10:10:00,143594.14,Success
31,622,2020-10-03 06:29:00,179910.74,Success
32,888,2021-12-23 15:34:00,165909.81,Failed
33,1076,2021-02-20 10:25:00,240285.02,Success
34,622,2021-01-23 13:53:00,270023.27,Success
35,2588,2021-10-30 10:15:00,440685.62,Success
36,549,2021-01-17 16:37:00,450631.9,Success
37,155,2020-09-23 03:59:00,499972.11,Success
38,200,2021-12-30 13:47:00,65326.54,Failed
39,1473,2021-05-04 06:57:00,331338.64,Failed
40,2422,2021-06-11 21:39:00,483532.85,Failed
41,2741,2021-01-28 18:29:00,458231.05,Failed
42,2520,2021-03-31 16:51:00,359669.94,Failed
43,670,2021-06-05 05:24:00,110339.41,Success
44,1734,2020-10-14 04:32:00,14644.39,Failed
45,2669,2021-06-24 16:25:00,264673.64,Failed
46,2054,2020-12-24 16:44:00,61827.73,Success
47,2390,2021-12-07 05:42:00,194105.0,Success
48,1253,2021-03-07 21:12:00,405180.39,Success
49,993,2020-09-10 20:20:00,62706.87,Failed
50,2849,2020-12-20 02:49:00,150471.2,Success
51,2818,2021-11-28 18:04:00,345791.81,Success
52,1212,2020-07-30 02:47:00,227058.7,Failed
53,633,2020-08-13 03:50:00,159985.8,Failed
54,2284,2020-08-31 10:40:00,305508.57,Failed
55,918,2021-09-08 18:00:00,356105.52,Failed
56,452,2021-05-11 20:01:00,454098.9,Failed
57,514,2020-10-23 12:05:00,170658.71,Failed
58,2095,2021-03-16 04:32:00,238057.46,Success
59,1342,2020-12-03 02:15:00,474752.09,Failed
60,2421,2020-10-29 03:03:00,273235.44,Success
61,1555,2020-11-28 12:50:00,292103.64,Success
62,2928,2020-12-07 08:29:00,134121.17,Success
63,544,2021-02-27 13:04:00,476674.16,Success
64,762,2021-07-22 22:34:00,102317.49,Failed
65,591,2021-07-24 18:33:00,32622.27,Success
66,1821,2020-11-10 21:03:00,402872.16,Failed
67,2613,2021-11-15 14:30:00,404406.38,Failed
68,1347,2021-01-01 17:56:00,278952.2,Success
69,1876,2021-05-19 05:11:00,251764.59,Success
70,894,2021-09-19 13:11:00,43616.65,Failed
71,2018,2020-08-28 15:56:00,358036.66,Success
72,1619,2021-05-22 06:07:00,122426.24,Failed
73,545,2020-09-13 23:08:00,15126.46,Success
74,1245,2021-06-02 00:08:00,16410.65,Success
75,410,2021-06-07 02:52:00,70736.26,Failed
76,906,2021-03-23 13:45:00,452902.31,Success
77,2762,2020-09-22 06:07:00,222470.69,Failed
78,1555,2021-03-23 06:34:00,470682.95,Success
79,2744,2020-08-16 14:20:00,207836.03,Success
80,570,2020-09-10 23:49:00,253225.3,Failed
81,1249,2020-10-11 12:17:00,467550.13,Failed
82,997,2021-03-20 23:15:00,407455.91,Failed
83,844,2021-05-21 12:30:00,404127.54,Success
84,2503,2020-12-04 05:25:00,478435.87,Failed
85,854,2021-04-15 00:54:00,493785.51,Success
86,2570,2021-04-12 07:29:00,380684.37,Success
87,2220,2020-09-22 04:41:00,134019.16,Failed
88,1712,2021-03-23 01:00:00,370705.82,Failed
89,1262,2020-06-26 06:20:00,141360.45,Failed
90,670,2021-01-14 22:00:00,366432.14,Failed
91,1836,2021-09-17 10:20:00,399954.12,Failed
92,1177,2020-10-26 14:53:00,174517.76,Success
93,691,2020-08-28 19:32:00,91072.29,Failed
94,2533,2020-05-26 10:32:00,476817.73,Failed
95,1934,2020-11-15 15:08:00,188501.73,Success
96,1653,2021-01-05 18:01:00,22939.21,Success
97,2927,2020-09-06 17:24:00,324951.57,Success
98,811,2021-02-13 10:21:00,200940.89,Failed
99,784,2020-11-08 17:43:00,308727.25,Failed
100,908,2021-01-19 04:28:00,271338.8,Failed
101,1333,2021-01-24 19:28:00,106814.07,Failed
102,2961,2020-05-22 14:26:00,98677.84,Failed
103,999,2020-08-13 19:40:00,247599.16,Failed
104,2280,2020-06-02 11:34:00,101559.72,Failed
105,322,2021-10-02 07:35:00,132536.7,Success
106,1626,2021-01-06 18:45:00,58025.33,Success
107,2485,2020-06-22 19:03:00,64536.82,Failed
108,253,2021-02-16 06:36:00,135590.89,Success
109,1839,2021-01-18 23:17:00,294208.72,Success
110,2362,2021-03-05 02:35:00,465446.36,Success
111,1658,2020-06-22 12:36:00,96428.84,Success
112,369,2021-06-18 06:33:00,441392.94,Success
113,352,2021-09-21 18:12:00,422305.49,Failed
114,663,2020-11-12 15:04:00,10257.62,Success
115,2192,2021-05-15 10:55:00,490801.27,Success
