PaymentID,CustomerID,AccountID,TransactionID,PaymentType,PaymentAmount,PaymentDateTime,Status,FraudScore,FraudFlag
14799,34,1,,UPI,31492.09,2020-05-19 10:18:00,Failed,14,0
15432,34,1,,UPI,21030.81,2021-04-22 13:28:00,Failed,6,0
7748,8050,2,,Water,6824.92,2021-07-03 04:14:00,Success,8,0
13393,8050,2,,Electricity,43612.93,2021-12-26 21:59:00,Success,28,0
6017,8050,2,19747.0,Bill,42527.96,2022-12-31 14:13:00,Success,34,0
12295,3868,3,,UPI,46164.72,2021-03-02 12:14:00,Success,58,0
8978,3868,3,38175.0,LoanEMI,47301.92,2021-04-10 12:16:00,Success,17,0
6876,3868,3,38226.0,UPI,91803.06,2021-06-29 12:22:00,Failed,100,1
6447,3868,3,6743.0,Bill,4572.87,2022-07-13 08:29:00,Failed,10,0
16679,2364,4,13958.0,LoanEMI,21573.01,2020-06-24 19:14:00,Failed,52,0
4343,2364,4,43202.0,UPI,63366.68,2021-05-26 05:55:00,Failed,55,0
15723,2364,4,,UPI,13652.32,2021-08-03 23:29:00,Success,37,0
13765,4709,5,47481.0,Bill,4707.46,2020-09-01 07:44:00,Success,28,0
1552,4709,5,,UPI,15954.62,2020-12-01 07:38:00,Success,22,0
10024,4709,5,,Water,17201.77,2021-11-18 06:59:00,Failed,17,0
10824,9588,7,8679.0,LoanEMI,38606.46,2020-08-12 12:23:00,Success,32,0
6621,9588,7,42822.0,Bill,655.77,2022-03-16 21:12:00,Failed,33,0
19234,3931,8,8307.0,Bill,65336.71,2020-10-01 15:17:00,Success,19,0
10363,3931,8,,Water,12631.52,2021-02-19 13:14:00,Failed,16,0
15880,3931,8,10281.0,CreditCard,87910.41,2021-06-26 02:15:00,Success,96,1
11503,1383,9,,Broadband,45806.14,2021-05-26 17:03:00,Failed,56,0
114,1383,9,26573.0,LoanEMI,69174.7,2022-07-02 21:19:00,Failed,48,0
18317,159,12,,Electricity,48439.32,2020-10-04 00:49:00,Success,36,0
14462,159,12,18267.0,Bill,62887.27,2022-03-09 03:55:00,Success,30,0
8311,9969,13,22444.0,LoanEMI,55193.78,2022-03-29 09:20:00,Success,16,0
12148,9969,13,3073.0,CreditCard,84523.63,2022-12-14 14:13:00,Failed,100,1
14066,6432,14,39958.0,Bill,16544.73,2020-12-08 10:50:00,Failed,37,0
8219,626,15,40189.0,UPI,6293.78,2020-06-18 08:02:00,Success,23,0
1557,626,15,23472.0,UPI,68903.69,2022-04-13 09:26:00,Success,21,0
3873,3993,16,27112.0,UPI,57484.35,2021-03-24 15:15:00,Success,22,0
2715,3993,16,48620.0,UPI,83227.21,2021-09-04 22:28:00,Failed,100,1
